timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708685150030,36,POST Users-1,200,OK,Workload Config 1-44,text,true,,1609,143,1,1,https://reqres.in/api/user,35,0,0
1708685150333,137,GET Users,200,OK,Workload Config 1-45,text,true,,1186,122,1,1,https://reqres.in/api/users/2,137,0,84
1708685150471,111,POST Users,200,OK,Workload Config 1-45,text,true,,2223,398,1,1,https://reqres.in/api/user,75,0,35
1708685150471,75,POST Users-0,301,Moved Permanently,Workload Config 1-45,,true,,606,255,1,1,http://reqres.in/api/user,75,0,35
1708685150546,36,POST Users-1,200,OK,Workload Config 1-45,text,true,,1617,143,1,1,https://reqres.in/api/user,35,0,0
1708685150834,192,GET Users,200,OK,Workload Config 1-46,text,true,,1186,122,1,1,https://reqres.in/api/users/2,192,0,137
1708685151027,104,POST Users,200,OK,Workload Config 1-46,text,true,,2223,398,1,1,https://reqres.in/api/user,62,0,27
1708685151027,62,POST Users-0,301,Moved Permanently,Workload Config 1-46,,true,,606,255,1,1,http://reqres.in/api/user,62,0,27
1708685151089,42,POST Users-1,200,OK,Workload Config 1-46,text,true,,1617,143,1,1,https://reqres.in/api/user,42,0,0
1708685151334,118,GET Users,200,OK,Workload Config 1-47,text,true,,1190,122,1,1,https://reqres.in/api/users/2,118,0,76
1708685151454,128,POST Users,200,OK,Workload Config 1-47,text,true,,2217,398,1,1,https://reqres.in/api/user,84,0,46
1708685151454,84,POST Users-0,301,Moved Permanently,Workload Config 1-47,,true,,608,255,1,1,http://reqres.in/api/user,84,0,46
1708685151539,43,POST Users-1,200,OK,Workload Config 1-47,text,true,,1609,143,1,1,https://reqres.in/api/user,42,0,0
1708685151832,120,GET Users,200,OK,Workload Config 1-48,text,true,,1186,122,1,1,https://reqres.in/api/users/2,120,0,78
1708685151952,112,POST Users,200,OK,Workload Config 1-48,text,true,,2211,398,1,1,https://reqres.in/api/user,75,0,32
1708685151952,75,POST Users-0,301,Moved Permanently,Workload Config 1-48,,true,,602,255,1,1,http://reqres.in/api/user,75,0,32
